timestamp,frame,gaze,hand,trajectory,predicted_action,alert_flag
1744349318.52,2580,unknown,unknown,right,unknown,NO
1744349319.23,2590,unknown,unknown,left,unknown,NO
1744349319.92,2600,unknown,unknown,right,unknown,NO
1744349320.64,2610,unknown,unknown,center,unknown,NO
1744349321.35,2620,unknown,unknown,center,unknown,NO
1744349322.05,2630,unknown,unknown,left,unknown,NO
1744349322.76,2640,unknown,unknown,right,unknown,NO
1744349323.47,2650,unknown,unknown,center,unknown,NO
1744349324.17,2660,unknown,unknown,left,unknown,NO
1744349324.89,2670,unknown,unknown,left,unknown,NO
1744349325.59,2680,unknown,unknown,center,unknown,NO
1744349326.29,2690,unknown,unknown,center,unknown,NO
1744349327.0,2700,unknown,unknown,center,unknown,NO
1744349327.7,2710,unknown,unknown,center,unknown,NO
1744349328.41,2720,unknown,unknown,right,unknown,NO
1744349329.13,2730,unknown,unknown,right,unknown,NO
1744349329.83,2740,unknown,unknown,center,unknown,NO
1744349330.53,2750,unknown,unknown,left,unknown,NO
1744349331.24,2760,unknown,unknown,right,unknown,NO
1744349331.95,2770,unknown,unknown,center,unknown,NO
1744349332.66,2780,unknown,unknown,left,unknown,NO
1744349333.37,2790,unknown,unknown,left,unknown,NO
1744349334.05,2800,unknown,unknown,center,unknown,NO
1744349334.77,2810,unknown,unknown,center,unknown,NO
1744349335.49,2820,unknown,unknown,center,unknown,NO
1744349336.2,2830,unknown,unknown,left,unknown,NO
1744349336.9,2840,unknown,unknown,right,unknown,NO
1744349337.61,2850,unknown,unknown,center,unknown,NO
1744349338.32,2860,unknown,unknown,center,unknown,NO
1744349339.02,2870,unknown,unknown,left,unknown,NO
1744349339.72,2880,unknown,unknown,right,unknown,NO
1744349340.44,2890,unknown,unknown,left,unknown,NO
1744349341.18,2900,unknown,unknown,right,unknown,NO
1744349341.88,2910,unknown,unknown,left,unknown,NO
1744349342.58,2920,unknown,unknown,center,unknown,NO
1744349343.3,2930,unknown,unknown,right,unknown,NO
1744349344.0,2940,unknown,unknown,right,unknown,NO
1744349344.71,2950,unknown,unknown,left,unknown,NO
1744349345.41,2960,unknown,unknown,right,unknown,NO
1744349346.12,2970,unknown,unknown,center,unknown,NO
1744349346.83,2980,unknown,unknown,center,unknown,NO
1744349347.53,2990,unknown,unknown,center,unknown,NO
1744349348.28,3000,unknown,unknown,center,unknown,NO
1744349348.98,3010,unknown,unknown,center,unknown,NO
1744349349.68,3020,unknown,unknown,right,unknown,NO
1744349350.4,3030,unknown,unknown,center,unknown,NO
1744349351.09,3040,unknown,unknown,left,unknown,NO
1744349351.8,3050,unknown,unknown,center,unknown,NO
1744349352.52,3060,unknown,unknown,center,unknown,NO
1744349353.21,3070,unknown,unknown,left,unknown,NO
1744349353.92,3080,unknown,unknown,right,unknown,NO
